Song Name,Artist,BPM,SIMPLE,NORMAL,HARD,EXTRA,Type,Date Added
ADRENA,C-Show,256,5,9,12,14,Base,2018-07-16
Analysis Division,Masayoshi Minoshima,130,2,5,9,,Base,2018-07-16
Bad Apple!! feat. nomico,Masayoshi Minoshima,138,2,5,7,10,Timed,2018-07-16
Black MInD,COSIO (ZUNTATA),192,4,9,14,,Unlock,2018-07-16
Bright Lights,aran,180,4,7,12,,Base,2018-07-16
DX Choseinou Full Metal Shoujo,IOSYS TRAX (uno with.Chiyoko),160,4,7,13,,Base,2018-07-16
Five to Seven,Sampling Masters AYA,150,4,7,11,,Base,2018-07-16
Future Coaster,Sakuzyo,180,4,8,14,,Unlock,2018-07-16
Got more raves?,E.G.G.,266,6,11,13,,Base,2018-07-16
Groove Revolver,Xeami,160,5,8,12,13,Base,2018-07-16
Horizons,M-Project,173,3,7,10,13,Base,2018-07-16
Lethal Dose,sky_delta,206,4,7,12,,Base,2018-07-16
LINK LINK FEVER!!!,LINKA,182,3,6,9,,Base,2018-07-16
MAD FREAKS,DJ Myosuke,180,3,7,13,,Base,2018-07-16
MERLIN,REDALiCE,180,3,7,13,,Base,2018-07-16
MIRACLE PARTY,DJ Genki,180,3,6,12,,Base,2018-07-16
Music Plot Type Three,COSIO (ZUNTATA),133,1,2,3,,Base,2018-07-16
No Way Out,ARM (IOSYS),175,4,6,10,12,Base,2018-07-16
OMAKENO Stroke,t+pazolite,240,5,11,13,,Base,2018-07-16
Period of Revolution,COSIO (ZUNTATA),138,4,5,9,,Base,2018-07-16
Play merrily NEO,Shohei Tsuchiya (ZUNTATA) feat. Aimee B,180,4,5,10,,Base,2018-07-16
Scarlet Lance,MASAKI (ZUNTATA),185,3,10,13,14,Unlock,2018-07-16
Seizya no Kodo,Xeami,169,5,7,12,,Base,2018-07-16
Shiva,Massive New Krew,160,4,7,13,,Base,2018-07-16
Sign of “10.5km”,Yasuhisa Watanabe,160,3,7,10,,Base,2018-07-16
SKYSCRAPER,Dr. ARM (IOSYS),140,3,5,10,,Base,2018-07-16
Smash a mirror,Shohei Tsuchiya (ZUNTATA) feat. SATOMI,140,3,5,9,,Base,2018-07-16
Solar Storm,xi,200,5,10,13,14,Base,2018-07-16
STAR COASTER,D.watt (IOSYS),184,4,6,9,,Base,2018-07-16
Stardust Vox,DJ Laugh a.k.a. uno (IOSYS),173,4,6,10,13,Base,2018-07-16
Thrash Beat,COSIO (ZUNTATA),127,3,5,10,,Base,2018-07-16
tiny tales continue,Chroma,188,4,7,13,,Base,2018-07-16
TRIPLE3T,SATO (SANODG ▶◀ KATO [noisycroak]),128,4,7,11,,Base,2018-07-16
Under The Moon,void (Mournfinale),175,3,6,11,,Base,2018-07-16
VEGAS,SATO (SANODG ▶◀ KATO [noisycroak]),128,3,5,10,,Base,2018-07-16
Wacky dance ethnic,Sampling Masters MEGA,190,5,7,12,,Base,2018-07-16
Warrior,Cranky,170,4,7,14,,Unlock,2018-07-16
APELIOTES,ginkiha,175,3,7,11,,Timed,2018-07-23
Night of Knights,Beat MARIO,180,5,8,11,13,Paid,2018-07-31
Kodoku na hana,Butaotome,200,3,7,10,13,Paid,2018-08-07
Machibito ha kozu,Butaotome,160,2,4,8,,Paid,2018-08-14
